epoch,train_loss,val_CER,val_exact
1,0.012291429534864923,0.008643229166666672,0.965625
2,0.007068286094840409,0.008640625000000006,0.96453125
3,0.004480163549176521,0.007656250000000001,0.9690625
4,0.0032176425234259416,0.007953125000000004,0.96890625
5,0.0025275317400357583,0.008015625000000004,0.969375
